Date,s105,s207,s208,s209,s212,s214,s215,s405,s406,s408,s409,s411,s412,s414,s416,s417,s419,s420,s501,s502,s504,s505,s507,s508,s510,s511,s512,s513,s514,s515,s615,s701,s702,s703,s705,s707,s708,s715,s716,s721,s723,s726,s727,s728,s730
1/1/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/2/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/3/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/4/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/5/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/6/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/7/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/8/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/9/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/10/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/11/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/12/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/13/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/14/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/15/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/16/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/17/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/18/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/19/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/20/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/21/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/22/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/23/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/24/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/25/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/26/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/27/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/28/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/29/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/30/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
1/31/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/1/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/2/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/3/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/4/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/5/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/6/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/7/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/8/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/9/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/10/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/11/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/12/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/13/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/14/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/15/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
2/16/1956,,,,DNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,
